Title,IMDb,Age,Directors,Runtime,Netflix,Hulu,Prime Video,Disney+,Genres,Country
Night on Earth: Shot in the Dark,8.2,NaN,Alex Minton,59.0,1,0,0,0,Documentary,NaN
What the F* Is Going On?,7.6,NaN,"Marta Jaenes, Rosa Marquez",86.0,0,0,0,0,Documentary,NaN
Concrete Football,6.4,NaN,"Jesse Adang, Syrine Boulanouar",51.0,0,0,0,0,"Documentary, Sport",NaN
Alexis Viera: A Story of Surviving,7.5,NaN,Luis Ara,68.0,1,0,0,0,Documentary,NaN
I Am Jonas,7,NaN,NaN,82.0,1,0,0,0,"Drama, Mystery, Romance",NaN
Light in the Dark,6.1,16+,Ekene Som Mekwunye,90.0,1,0,0,0,"Thriller, Drama",NaN
Patton Oswalt: I Love Everything,6.4,NaN,NaN,90.0,1,0,0,0,Comedy,NaN
Homeland,5.3,NaN,Anindya Chatterjee,73.0,0,0,0,0,Drama,NaN
The Consul's Son,6.6,NaN,Amr Arafa,119.0,1,0,0,0,"Comedy, Thriller, Drama, Family",NaN
Little Baby Bum: Go Buster,6.4,NaN,NaN,,0,0,0,0,"Animation, Family, Musical",NaN
Because of Soccer,5.2,NaN,"Agasyah Karim, Khalid Kashogi",75.0,0,0,0,0,"Comedy, Sport, Drama",NaN
Once In A Lifetime Sessions with Moby,7.6,NaN,Matt Askem,86.0,1,0,0,0,Documentary,NaN
Krish Trish and Baltiboy: Face Your Fears,4.1,NaN,NaN,65.0,0,0,0,0,Animation,NaN
Paulettante Veedu,3.3,NaN,Dileep Narayanan,106.0,1,0,0,0,"Drama, Family",NaN
Oddbods: Party Monsters,4.9,NaN,NaN,23.0,1,1,0,0,NaN,NaN
LeapFrog Letter Factory Adventures: Amazing Word Explorers,8,All,NaN,35.0,0,1,0,0,"Animation, Family",NaN
Alien Contact,7.3,NaN,NaN,75.0,0,0,0,0,Documentary,NaN
Christmas Crush,5,NaN,Marita Grabiak,88.0,0,0,0,0,"Comedy, Drama, Musical",America
The White Massai Warrior,6.8,13+,Benjamin Eicher,83.0,0,0,1,0,Documentary,NaN
The Present,7.5,NaN,Jacob Frey,4.0,0,0,0,0,"Technology, Comic Book, Short, Video Games, Adaptation",Germany
Washington Capitals 2018 Stanley Cup Champions,8.2,NaN,Evan Neel,83.0,0,0,1,0,"Documentary, Sport",America
Produced By George Martin,7.6,7+,Francis Hanly,138.0,0,0,1,0,"Documentary, Musical",NaN
Nureyev,4.2,NaN,Moze Mossanen,47.0,0,0,1,0,Biography,NaN
Etgar Keret What Animal R U?,7.4,NaN,NaN,90.0,0,0,1,0,Documentary,NaN
VA: The Human Cost of War,6.8,NaN,NaN,57.0,0,0,1,0,Documentary,NaN
The Last Ones,6.7,NaN,Veiko ̥unpuu,117.0,0,0,0,0,"Drama, Comedy, Crime",NaN
Behind the Blue Veil,6.5,13+,Robyn Symon,62.0,0,0,1,0,"Documentary, History",Mali
Kundanapu Bomma,5.3,All,Mullapudi Vara,122.0,0,0,1,0,"Comedy, Romance, Drama",NaN
Soul,6.1,NaN,Emir Ezwan,82.0,0,0,0,1,"Drama, Horror",NaN
Drone,6.7,NaN,Tonje Hessen Schei,78.0,0,0,0,0,"Documentary, History",Norway
Acrylic,6.2,NaN,Nicole D'Angelo,78.0,0,0,1,0,Comedy,NaN
Forever Faithful,7.8,NaN,Angie Ruiz,57.0,0,0,1,0,Documentary,America
Back to Life: The Torin Yater-Wallace Story,8.2,NaN,NaN,46.0,0,0,1,0,"Documentary, Sport",NaN
The Contract,3.1,NaN,Nic Auerbach,100.0,0,0,0,0,"Action & Adventure, Crime, Thriller",NaN
When Darkness Falls: 2 Chiller Tales,2.5,NaN,Jeff London,92.0,0,0,1,0,"Horror, Thriller",NaN
Ocean Rescue: Making the Squad,6.3,NaN,NaN,83.0,0,0,1,0,NaN,NaN
Power Trip,6.6,13+,Christopher Boulton,10.0,0,0,1,0,"Documentary, Comedy, Family, Fantasy, Romance, Science-Fiction, Action & Adventure",NaN
Paranormal Rosslyn Chapel,4.3,NaN,Philip Gardiner,59.0,0,0,0,0,Documentary,NaN
Human Zoos,8.2,NaN,NaN,49.0,0,0,1,0,"Documentary, History",NaN
Volcanic Planet,4.7,NaN,NaN,90.0,0,0,0,0,"Documentary, Action & Adventure",NaN
Ryan's Well,7,NaN,NaN,50.0,0,0,1,0,Documentary,NaN
My Side Piece Hit The Lotto,3.6,18+,Dewey Allen,106.0,0,0,1,0,"Drama, Comedy",NaN
How to Love,4.4,NaN,NaN,99.0,0,0,1,0,Comedy,NaN
Set Free,4.6,NaN,NaN,99.0,0,0,1,0,"Drama, Family",NaN
The Iranian Americans,5.3,NaN,NaN,,0,0,1,0,Documentary,NaN
Wrestling with Satan,5.4,NaN,"Paul Aldridge, Tom Borden",85.0,0,0,1,0,Documentary,America
Passing Through,8.4,NaN,NaN,66.0,0,0,0,0,Documentary,NaN
Murder Gardens,7.2,NaN,Mark A. Samuels,141.0,0,0,0,0,"Drama, Action & Adventure",NaN
Leonard Cohen: Leonard Cohen's Lonesome Heroes,9.2,NaN,NaN,110.0,0,0,1,0,Documentary,NaN
